record_id,Ministry/Department of Justice,National Government,Provincial/State Government,New Task Force,Municipal Government,Other,Police,Ministry/Department of Foreign Affairs,Military,Ministry/Department of Health
R_9KNJYBl1KEaN3CpNA,False,False,True,False,False,False,False,False,False,False
R_26fhDzoOWvU8yOeNA,False,False,True,False,False,False,False,False,False,False
R_xgwg76SyBV3CHDPAj,False,False,False,False,True,False,False,False,False,False
R_eEswyXb23Z8Wn9nNA,False,False,True,False,False,False,False,False,False,False
R_rckNPyxJYBHYIBrNA,False,False,True,False,False,False,False,False,False,False
R_1CvDYESqrFOsjpeNA,False,False,True,False,False,False,False,False,False,False
R_XpJzJITd0noI9zjNA,False,False,True,False,False,False,False,False,False,False
R_1yIaoWr1qc12OBPNA,False,False,True,False,False,False,False,False,False,False
R_2DS1FbjQsZvPpWEAr,False,False,True,False,False,False,False,False,False,True
R_2DS1FbjQsZvPpWEBy,False,False,True,False,False,False,False,False,False,True
R_2fuL9znnrzjV45RNA,False,False,True,False,False,False,False,False,False,False
R_21aKFsw2pBQ7804Dz,False,False,False,False,False,False,False,False,False,True
R_3dYr4xEsCYFk3tANA,False,False,False,False,False,False,False,False,False,True
R_1FwCzYKLCUGodh5Dq,False,False,False,False,False,False,False,False,False,True
R_2CwB2zUX5XlahLwNA,False,False,False,False,False,False,False,False,False,True
R_215kQqAcvSc10x5NA,False,True,False,False,False,False,False,False,False,True
R_1N4ZpEHhEJ1loHSNA,False,True,False,False,False,False,False,False,False,True
R_bOgIwDaXCO536P7NA,False,False,False,False,False,False,False,False,False,True
R_1GUkhkJJnbh8v9DNA,False,True,False,False,False,False,False,False,False,True
R_SIAjiyZAAc3W2atCe,False,True,False,True,False,True,False,False,False,True
R_1mVJRXK6YgfBumnNA,False,True,False,False,False,False,False,False,False,False
R_2YRCVKmlfWe7L2BCj,False,True,False,False,False,True,False,False,False,False
R_eEhieUGI8S52MlrNA,False,False,True,False,False,False,False,False,False,False
R_vZiOp05BmkMiEAFNA,False,False,True,False,False,True,False,False,False,False
R_2EsinSjlThn5ylwBs,False,False,True,False,False,False,False,False,False,False
R_1Dqgy8jvPBOOTdTAr,False,False,True,False,False,False,False,False,False,True
R_1Dqgy8jvPBOOTdTBy,False,False,True,False,False,False,False,False,False,True
R_2TYK3zpvoDdw0EvCt,False,False,True,False,False,True,False,False,False,False
R_2TYK3zpvoDdw0EvCu,False,False,True,False,False,True,False,False,False,False
R_2TYK3zpvoDdw0EvDp,False,False,True,False,False,True,False,False,False,False
R_2TYK3zpvoDdw0EvBf,False,False,True,False,False,True,False,False,False,False
R_3ix9ygycclRuiERCf,False,True,False,False,False,False,False,False,False,True
R_10OgwuSZAzZQTcQNA,False,False,True,False,False,True,False,False,False,False
R_C3tDdB7bI1kmDkdCt,False,False,False,False,False,True,False,False,False,False
R_C3tDdB7bI1kmDkdCu,False,False,False,False,False,True,False,False,False,False
R_C3tDdB7bI1kmDkdDp,False,False,False,False,False,True,False,False,False,False
R_C3tDdB7bI1kmDkdBf,False,False,False,False,False,True,False,False,False,False
R_4SYR7e5yLLfKGTnNA,False,False,False,False,False,True,False,False,False,False
R_5upUuTeterkVmsVAr,False,True,False,False,False,False,False,False,False,True
R_2R1CMHcnlNWb9khAr,False,False,True,False,False,False,False,False,False,True
R_2R1CMHcnlNWb9khBy,False,False,True,False,False,False,False,False,False,True
R_1CJ6DD3MDzfvkcHNA,False,True,False,False,False,False,False,False,False,True
R_24vM6xIXPletrfSEj,False,True,False,False,False,False,False,False,False,False
R_1qb8fXZ3gn2r7h4Ej,False,True,False,False,False,False,False,False,False,False
R_3NOhKTMIghJYI1CNA,False,True,False,False,False,False,False,False,False,False
R_2uBxjaJaq1C98iTCt,False,True,False,False,False,False,False,False,False,True
R_2uBxjaJaq1C98iTCu,False,True,False,False,False,False,False,False,False,True
R_2uBxjaJaq1C98iTDp,False,True,False,False,False,False,False,False,False,True
R_2uBxjaJaq1C98iTBf,False,True,False,False,False,False,False,False,False,True
R_31FBFHo0oa1qb3fNA,False,True,False,False,False,False,False,False,False,False
R_1QzU6zmjsUKIWNTNA,False,True,False,False,False,False,False,False,False,True
R_XnOKfOTaTwYWpqhBd,False,True,False,False,False,False,False,False,False,True
R_6VTvWSiBZ7A1HI5Dq,False,True,True,False,True,False,True,False,False,True
R_6VTvWSiBZ7A1HI5Cm,False,True,True,False,True,False,True,False,False,True
R_Wwbx8qbmJ37Z0BjNA,False,True,False,False,False,False,False,False,False,True
R_11ZtSLMB2rUyA7LNA,False,False,False,False,False,False,False,False,False,True
R_2y7MdTX5WXoiVVTNA,False,False,True,False,False,True,False,False,False,False
R_21nyXwLSZMShAvSNA,False,True,False,False,False,False,False,False,False,False
R_3hbtx4OYjELLlN7NA,False,True,False,False,False,False,False,False,False,False
R_qDV9wPhEezLJKkVAq,False,True,False,False,False,False,False,False,False,False
R_2Va1nNjfql49MmdNA,False,False,False,False,False,False,False,False,False,True
R_1hBd4pOPe3giMjMAr,False,False,True,False,False,False,False,False,False,True
R_1hBd4pOPe3giMjMBy,False,False,True,False,False,False,False,False,False,True
R_1IfK3yz20HqDOp6Bg,False,False,True,False,False,False,False,False,False,False
R_37vyezmHqo5ptmxAr,False,False,True,False,False,False,False,False,False,True
R_37vyezmHqo5ptmxBy,False,False,True,False,False,False,False,False,False,True
R_1liTAD6SYKZrjj8NA,False,True,False,False,False,False,False,False,False,True
R_3MsPjJyqxBiKLUMBm,False,False,True,False,False,True,False,False,False,False
R_2dDZRPAZWrWH51uCt,False,False,False,False,True,False,False,False,False,False
R_2dDZRPAZWrWH51uCu,False,False,False,False,True,False,False,False,False,False
R_2dDZRPAZWrWH51uDp,False,False,False,False,True,False,False,False,False,False
R_2dDZRPAZWrWH51uBf,False,False,False,False,True,False,False,False,False,False
R_3DvHmxjCjC4p1MaAq,False,False,True,False,False,False,False,False,False,False
R_2eVZNigWsMCBYT7NA,False,False,True,False,False,True,False,False,False,False
R_1FG3b4FNYlix89iNA,False,True,False,False,False,True,False,False,False,True
R_RacseVNFwCsdfFLAr,False,False,True,False,False,False,False,False,False,True
R_RacseVNFwCsdfFLBy,False,False,True,False,False,False,False,False,False,True
R_2y1PdfvCpdliMTfBa,False,True,False,False,False,False,False,False,False,True
R_1LMRHeVjaevsBMLNA,False,False,True,False,False,True,False,False,False,True
R_D7yVgGXeMioKmdzAr,False,False,True,False,False,False,False,False,False,True
R_D7yVgGXeMioKmdzBy,False,False,True,False,False,False,False,False,False,True
R_pRDbPQGUnLr7B6hBs,False,False,True,False,False,False,False,False,False,False
R_TnrUQQzx37T8kU1Ar,False,False,True,False,False,False,False,False,False,True
R_TnrUQQzx37T8kU1By,False,False,True,False,False,False,False,False,False,True
R_V42y6x7CEjC30zfNA,False,True,False,False,False,False,False,False,False,False
R_1JQPa4wvnxUvBffAr,False,False,True,False,False,False,False,False,False,True
R_1JQPa4wvnxUvBffBy,False,False,True,False,False,False,False,False,False,True
R_Qgpz1FCflA9RRyVCt,False,False,True,False,False,False,False,False,False,False
R_Qgpz1FCflA9RRyVCu,False,False,True,False,False,False,False,False,False,False
R_Qgpz1FCflA9RRyVDp,False,False,True,False,False,False,False,False,False,False
R_Qgpz1FCflA9RRyVBf,False,False,True,False,False,False,False,False,False,False
R_1dn32cbYJkPde5EAr,False,False,True,False,False,False,False,False,False,True
R_1dn32cbYJkPde5EBy,False,False,True,False,False,False,False,False,False,True
R_suK2GOOtSI03E1HAr,False,False,True,False,False,False,False,False,False,True
R_suK2GOOtSI03E1HBy,False,False,True,False,False,False,False,False,False,True
R_1erAK9jAEbJre8sCt,False,True,False,False,False,True,False,False,False,False
R_1erAK9jAEbJre8sCu,False,True,False,False,False,True,False,False,False,False
R_1erAK9jAEbJre8sDp,False,True,False,False,False,True,False,False,False,False
R_1erAK9jAEbJre8sBf,False,True,False,False,False,True,False,False,False,False
R_3ws4MBvLzeL45cBNA,False,True,False,False,False,True,False,False,False,True
R_VKXBj9Msn4gCpZTNA,False,True,False,False,False,False,False,False,False,False
R_1Ka0BOHjpdzX2fdBv,False,False,False,False,False,False,False,False,False,True
R_3e4WRDDIwwutP2gNA,False,False,False,False,False,False,False,False,False,True
R_2UiqEj9ILBNi4z5NA,False,True,False,False,False,False,False,False,False,True
R_3MlAT99CzSOfbjQNA,False,False,False,False,False,False,False,False,False,True
R_3svOwSjtoKLlZA7NA,False,False,True,False,False,False,False,False,False,False
R_1OlEUCOTYHblIgkBv,False,False,False,True,False,False,False,False,False,False
R_3Pbp9xBMCcXQuQ6NA,False,False,False,False,False,False,False,False,False,True
R_2yfvLlZFIQr00DSNA,False,False,False,False,False,False,False,False,False,True
R_qxrTpQn4llMJkRjDv,False,False,False,False,False,False,False,False,False,True
R_2QWc2V4J4lEACujNA,False,False,False,False,False,False,False,False,False,True
R_3HYX0l9OoCPvhvPNA,False,False,False,False,False,False,False,False,False,True
R_1H8qjxdLsL8GvpnCt,False,True,False,False,False,False,False,False,False,True
R_1H8qjxdLsL8GvpnCu,False,True,False,False,False,False,False,False,False,True
R_1H8qjxdLsL8GvpnDp,False,True,False,False,False,False,False,False,False,True
R_1H8qjxdLsL8GvpnBf,False,True,False,False,False,False,False,False,False,True
R_25BDLqwu2HxXuTSAj,False,False,True,False,False,False,False,False,False,False
R_3UcJmWngvgO1iORNA,False,True,False,False,False,False,False,False,False,False
R_AGmYwMhYbVUnDTrDz,False,False,False,False,False,True,False,False,False,True
R_3MuFni8YN4SHhVrNA,False,True,False,False,False,False,False,False,False,False
R_3kijgklqJujime8Bd,False,False,False,False,False,True,False,False,False,True
R_xbdIvNitoKBAFZnNA,False,False,False,False,False,False,False,False,False,True
R_sMRa1mjM9yw3hWVNA,False,False,False,False,False,False,False,False,False,True
R_3h0CGs3MzVpmy9XNA,False,False,True,False,False,False,False,False,False,True
R_1r60QdgsVJcjgOQBd,False,True,False,False,False,False,False,False,False,True
R_1pxoCfyYs74wnt1NA,False,False,False,False,False,False,False,False,False,True
R_1pWiYx7oOo4jIakNA,False,False,True,False,False,False,False,False,False,True
R_wNrySUc4A1vSjJvNA,False,True,True,False,True,False,False,False,False,True
R_4MVQM817ri6boVXNA,False,False,False,False,False,True,False,False,False,False
R_29aIfw7NISDH8jxNA,False,True,False,False,False,True,False,False,False,False
R_2c0gvsTdtZ5BYRWNA,False,True,False,False,False,True,False,False,False,False
R_Pt8vwuU6y3BbJUlNA,False,False,False,False,False,False,False,False,False,True
R_cPiM8bykPKWplu1Bd,False,True,False,False,False,False,False,False,False,True
R_qwm7y7LsNEfuI6dCc,False,False,False,False,False,False,False,False,False,True
R_11XTX0OvhJW2KDzNA,False,False,False,False,False,True,False,False,False,False
R_x3GXErNxVXDIHCxNA,False,True,False,False,False,True,True,False,False,False
R_28OsaN37VwFzbgsDq,False,True,False,False,False,False,False,False,False,True
R_3IYnPpArHTOVLSqNA,False,True,False,False,False,True,False,False,False,False
R_SDF4T9F2gCdPZgBNA,False,True,False,False,False,True,False,False,False,True
R_V2TcxaPshPWkykNNA,False,True,False,False,False,False,False,False,False,True
R_1EP7lhtVLV8PIfnAm,False,False,True,False,False,False,False,False,False,False
R_24hFAlsnItdTqqMNA,False,False,False,False,False,False,False,False,False,True
R_31WUbXyevxeBX1VNA,False,False,True,False,False,False,False,False,False,True
R_BX3GkzQmXqdJiWRNA,False,True,False,False,False,True,False,False,False,False
R_3RqpJ5SN7egQJWbBs,False,False,False,False,False,False,False,False,False,True
R_1dNfMVJUTnqNYZ5Cc,False,True,False,False,False,False,False,False,False,False
R_2YP5ppLFt3xFSOYNA,False,True,False,False,False,False,False,False,False,False
R_31NuDvR2tN009DdNA,False,True,False,False,False,False,False,False,False,True
R_3D5Ql2C2lV6aEIiNA,False,True,False,False,False,False,False,False,False,True
R_1hyjwRnHoGDpfK8Ej,False,True,False,False,False,False,False,False,False,False
R_1OIw0yrg29CV6EsNA,False,True,False,False,False,True,False,False,False,True
R_3J3H7wSrewssHbyNA,False,True,False,False,False,False,False,False,False,False
R_dpB1fFFM7RjfFglBv,False,True,False,False,False,False,False,False,False,True
R_3M502mcFqYvy3aSNA,False,False,False,False,False,True,False,False,False,False
R_1FhdoT2gY7ZKKuLNA,False,False,False,False,True,False,False,False,False,False
R_a5xg1R6BxcQ60xzNA,False,False,False,False,False,False,False,False,False,True
R_1CIuB3EEhrvBhlsNA,False,False,False,False,True,False,False,False,False,True
R_su6UPlebrcvBbjzNA,False,True,False,False,False,False,False,False,False,True
R_O8X0ylBj2MSoiqZBd,False,False,False,False,False,True,False,False,False,True
R_31NUedG0zeurlSGBd,False,False,False,False,False,False,False,False,False,True
R_3L297oa8ZxuLftXCm,False,False,False,False,False,True,False,False,False,True
R_1NqYksY9KNfQcHiDq,False,False,False,False,False,False,False,False,False,True
R_1NqYksY9KNfQcHiAy,False,False,False,False,False,False,False,False,False,True
